
Tenant: Italian Trattoria,,Product Summary Report
,,Report as of 07/22/2026

"Product name","Item count","Category","Available in Recipe","Available in Inventory","Product unit","Last purchased","Cost","Last purchased vendor","Last purchased location"
"Disposable, White Bags Small",1,Disposable,false,true,each,01/01/2026 00:00:00,0.01,I Halper Paper and Supplies Inc,IT - 1014 Lincoln Rd
"Cleaning Supplies, Sanitizer Ecologic Green",1,Disposable,false,false,liter,01/01/2026 00:00:00,3.51,I Halper Paper and Supplies Inc,IT - 1656 Collins Ave
"Disposable, Ice Cream Cup 8 Oz",1,Disposable,false,true,lb,01/01/2026 00:00:00,159.9,I Halper Paper and Supplies Inc,IT - 1014 Lincoln Rd
"Disposable, Bakery Bag 4lb",1,Disposable,false,false,lb,01/01/2026 00:00:00,16.49,I Halper Paper and Supplies Inc,IT - 1014 Lincoln Rd
"Disposable, Cold Cup LOGO 16oz",1,Disposable,false,true,each,01/01/2026 00:00:00,0.01,I Halper Paper and Supplies Inc,IT - 390 Fifth Ave
"Disposable, Take-Out Container 38oz",1,Disposable,false,false,each,01/01/2026 00:00:00,0.3,I Halper Paper and Supplies Inc,IT - 390 Fifth Ave
"NA Bev, Chinotto Sicilian Soda Polara",1,Soda,false,false,each,01/06/2026 00:00:00,0.89,VIANDER INC,IT - 1656 Collins Ave
"Protein, Seafood Smoked Salmon PRE-SLICED - WILD",1,Seafood,true,false,lb,01/06/2026 00:00:00,18.5,VIANDER INC,IT - 1656 Collins Ave
"Baked Goods, Scrocchiarella Classica",1,Baked Goods,false,true,each,01/08/2026 00:00:00,40.5,VIANDER INC,IT - 1014 Lincoln Rd
"Baked Goods, Focaccia Rolls Plain",1,Baked Goods,true,false,each,01/10/2026 00:00:00,0.45,La Provence Miami - BILLPAY,IT - 1656 Collins Ave
"Baked Goods, Cranberry Orange Muffin",1,Baked Goods,false,true,each,01/10/2026 00:00:00,1.5,La Provence Miami - BILLPAY,IT - 1656 Collins Ave
"Dry Goods, Tart Shell Chocolate",1,Dry Goods,false,false,each,01/11/2026 00:00:00,0.17,Paris Gourmet,IT - 390 Fifth Ave
"Dry Goods, Vanilla Paste",1,Dry Goods,true,false,lb,01/11/2026 00:00:00,6.67,Paris Gourmet,IT - 390 Fifth Ave
"Whiskey, Johnnie Walker Blue 80",1,Liquor,false,false,liter,01/12/2026 00:00:00,249.47,Southern Glazer,IT - 1656 Collins Ave
"Liqueur, BRAULIO LIQ AMARO",1,Liquor,false,true,each,01/12/2026 00:00:00,47.45,Southern Glazer,IT - 1656 Collins Ave
"Dry Goods, Domina Triangle Darto White",1,Dry Goods,false,false,each,01/16/2026 00:00:00,0.29,Casella Specialties Inc.,IT - 390 Fifth Ave
"Dry Goods, White Chocosmart",1,Dry Goods,false,false,each,01/16/2026 00:00:00,65.5,Casella Specialties Inc.,IT - 390 Fifth Ave
"Dry Goods, Dobla White Chocolate Shaving",1,Dry Goods,true,false,each,01/16/2026 00:00:00,55,Casella Specialties Inc.,IT - 390 Fifth Ave
"Dry Goods, Flour hi-glutenhi-protein",1,Food - other,false,false,lb,01/16/2026 00:00:00,0.56,ACE ENDICO,IT - 390 Fifth Ave
"Dry Goods, Dobla Curvy Elegance Dark",1,Dry Goods,false,false,each,01/16/2026 00:00:00,55,Casella Specialties Inc.,IT - 390 Fifth Ave
"Disposable, Cup Lid Alcas Coppa Deco",1,Disposable,false,false,each,01/16/2026 00:00:00,0.14,Casella Specialties Inc.,IT - 390 Fifth Ave
"Disposable, Cup Alcas Coppa Deco",1,Disposable,false,false,each,01/16/2026 00:00:00,0.34,Casella Specialties Inc.,IT - 390 Fifth Ave
"Produce, Blueberries fresh",1,Produce,false,true,liter,01/16/2026 00:00:00,5.36,Driscoll Foods,IT - 390 Fifth Ave
"Produce, Potatoes",1,Produce,false,true,lb,01/16/2026 00:00:00,0.06,Driscoll Foods,IT - 390 Fifth Ave
"Dry Goods, Mini Medero",1,Dry Goods,false,false,each,01/16/2026 00:00:00,0.19,Casella Specialties Inc.,IT - 390 Fifth Ave
"Protein, Pepperoni Sliced",1,Food - other,false,true,lb,01/16/2026 00:00:00,6.49,ACE ENDICO,IT - 390 Fifth Ave
"Dry Goods, Strawberry Topping",1,Food - other,true,true,liter,01/20/2026 00:00:00,10.66,ACE ENDICO,IT - 530 Seventh Ave
"Disposable, Plastic Lid for Yogurt Cup",1,Disposable,false,false,each,01/22/2026 00:00:00,0.04,SimplyPak,IT - 1014 Lincoln Rd
"Disposable, Tray Combo XS",1,Disposable,false,false,each,01/22/2026 00:00:00,0.12,SimplyPak,IT - 1014 Lincoln Rd
"Dry Goods, Sacco Rosso Red Flour",1,Food - other,false,false,lb,01/23/2026 00:00:00,1.1,ACE ENDICO,IT - 530 Seventh Ave
"NA Bev, Peach Daiquiri Mix",1,Liquor,false,true,each,01/23/2026 00:00:00,3.66,Southern Glazer,IT - 1656 Collins Ave
"Dry Goods, Nutmeg Whole",1,Dry Goods,true,false,each,01/24/2026 00:00:00,12.99,Driscoll Foods,IT - 530 Seventh Ave
"Frozen, Edamame",2,Frozen,false,false,lb,01/26/2026 00:00:00,3.98,"Superior Superfoods, LLC",IT - 1014 Lincoln Rd
"Dry Goods, Pistachio Pesto",2,Dry Goods,false,false,lb,01/26/2026 00:00:00,16.57,SOGNO TOSCANO,IT - 1014 Lincoln Rd
"NA Bev, Rishi Tat Blueberry Hibiscus",1,Coffee & Tea,false,false,each,01/26/2026 00:00:00,0.79,PRIME LINE DISTRIBUTORS,IT - 1656 Collins Ave
"Disposable,  Cold Cup 10oz",1,Disposable,false,false,each,01/27/2026 00:00:00,0.05,SimplyPak,IT - 1656 Collins Ave
"Baked Goods, Savoiardi Lady Finger Cookie",2,Food - other,false,true,lb,01/27/2026 00:00:00,5.75,ACE ENDICO,IT - 530 Seventh Ave
"NA Bev, Polara Mandarino Verde Sicilian Soda",2,Soda,false,true,each,01/27/2026 00:00:00,0.89,VIANDER INC,IT - 1656 Collins Ave
"Disposable, Paper 32oz Container Combo",2,Disposable,false,false,pack,01/27/2026 00:00:00,0.1,SimplyPak,IT - 1656 Collins Ave
"Disposable, Plastic 8oz Container Mono Portion",3,Disposable,false,false,each,01/27/2026 00:00:00,0.05,SimplyPak,IT - 1656 Collins Ave
"Protein, Seafood Battered Cod",1,Food - other,false,false,lb,01/30/2026 00:00:00,12.6,ACE ENDICO,IT - 390 Fifth Ave
"Wine, Red Mirafiore Nebbiolo Langhe 21",1,Liquor,true,false,liter,01/30/2026 00:00:00,23.87,Southern Glazer,IT - 1656 Collins Ave
"Dry Goods, Sugar Brown Dark",1,Food - other,false,false,lb,02/02/2026 00:00:00,1.95,ACE ENDICO,IT - 1014 Lincoln Rd
