
Tenant: Italian Trattoria,,Item Library
,,Report as of 07/22/2026

"Location Name","Vendor Name","Item Code","Item Description","UOM","Item UOM","Pack/Size/Unit","Weighable","Category","GL Code","Contracted Price ($)","Last Purchased Date","Last Purchased Price ($)","Close Watch","Product(s)"
IT - 1656 Collins Ave,I Halper Paper and Supplies Inc,FL-3121298,12 Oz Plastic cup,cs,ea,1000 1 ea,false,Disposable,Disposable,0,07/12/2026,69.4,false,"Disposable, Clear Lid for 12- 24oz Cup"
IT - 530 Seventh Ave,I Halper Paper and Supplies Inc,FL-3121298,12 Oz Plastic cup,cs,ea,1000 1 ea,false,Disposable,Disposable,0,06/01/2026,69.4,false,"Disposable, Clear Lid for 12- 24oz Cup"
IT - 390 Fifth Ave,I Halper Paper and Supplies Inc,FL-3121298,12 Oz Plastic cup,cs,ea,1000 1 ea,false,Disposable,Disposable,0,01/01/2026,69.4,false,"Disposable, Clear Lid for 12- 24oz Cup"
IT - 1014 Lincoln Rd,I Halper Paper and Supplies Inc,FL-3121298,12 Oz Plastic cup,cs,ea,1000 1 ea,false,Disposable,Disposable,0,01/01/2026,69.4,false,"Disposable, Clear Lid for 12- 24oz Cup"
IT - 390 Fifth Ave,I Halper Paper and Supplies Inc,WI-PSW-12,12 OZ WIDE MOUTH CLEAR SQUEEZE BOT TLE (6PACK),cs,pack,6 1 ea,false,Disposable,Disposable,9.95,07/08/2026,9.95,false,"Disposable, Squeeze Bottle 12 OZ"
IT - 530 Seventh Ave,I Halper Paper and Supplies Inc,WI-PSW-12,12 OZ WIDE MOUTH CLEAR SQUEEZE BOT TLE (6PACK),cs,pack,6 1 ea,false,Disposable,Disposable,9.95,07/08/2026,9.95,false,"Disposable, Squeeze Bottle 12 OZ"
IT - 1014 Lincoln Rd,I Halper Paper and Supplies Inc,WI-PSW-12,12 OZ WIDE MOUTH CLEAR SQUEEZE BOT TLE (6PACK),cs,pack,6 1 ea,false,Disposable,Disposable,9.95,01/01/2026,9.95,false,"Disposable, Squeeze Bottle 12 OZ"
IT - 1656 Collins Ave,I Halper Paper and Supplies Inc,WI-PSW-12,12 OZ WIDE MOUTH CLEAR SQUEEZE BOT TLE (6PACK),cs,pack,6 1 ea,false,Disposable,Disposable,9.95,01/01/2026,9.95,false,"Disposable, Squeeze Bottle 12 OZ"
IT - 530 Seventh Ave,I Halper Paper and Supplies Inc,GB-12-ITTRATTORIA,"12"" WHITE PIZZA BOX prp-IT-TRATTORIA",cs,ea,50 1 ea,false,Disposable,Disposable,0,07/20/2026,8,false,"Disposable, Pizza Box LOGO 12in"
IT - 390 Fifth Ave,I Halper Paper and Supplies Inc,GB-12-ITTRATTORIA,"12"" WHITE PIZZA BOX prp-IT-TRATTORIA",cs,ea,50 1 ea,false,Disposable,Disposable,0,01/01/2026,0.01,false,"Disposable, Pizza Box LOGO 12in"
IT - 1014 Lincoln Rd,I Halper Paper and Supplies Inc,GB-12-ITTRATTORIA,"12"" WHITE PIZZA BOX prp-IT-TRATTORIA",cs,ea,50 1 ea,false,Disposable,Disposable,0,01/01/2026,0.01,false,"Disposable, Pizza Box LOGO 12in"
IT - 1656 Collins Ave,I Halper Paper and Supplies Inc,GB-12-ITTRATTORIA,"12"" WHITE PIZZA BOX prp-IT-TRATTORIA",cs,ea,50 1 ea,false,Disposable,Disposable,0,07/09/2026,8,false,"Disposable, Pizza Box LOGO 12in"
IT - 1656 Collins Ave,"Superior Superfoods, LLC",100233,12 x 1 Ct Grape Tomato,lb,ct,12 25 lb,false,Produce,Food Purchases,0,02/23/2026,31.17,false,"Produce, Grape Tomato"
IT - 1014 Lincoln Rd,"Superior Superfoods, LLC",100233,12 x 1 Ct Grape Tomato,lb,ct,12 25 lb,false,Produce,Food Purchases,0,02/23/2026,31.17,false,"Produce, Grape Tomato"
IT - 1656 Collins Ave,"Superior Superfoods, LLC",100025,12 x 1 Quart Heavy Cream,cs,,1 1 ea,false,Dairy,Food Purchases,0,02/23/2026,59.74,false,"Dairy, Quart Heavy Cream"
IT - 1014 Lincoln Rd,"Superior Superfoods, LLC",100025,12 x 1 Quart Heavy Cream,cs,,1 1 ea,false,Dairy,Food Purchases,0,02/02/2026,57.14,false,"Dairy, Quart Heavy Cream"
IT - 1656 Collins Ave,SimplyPak,245048_XC14713063,"12"" x 2000'",each,,1 1 roll,false,Disposable,Disposable,0,02/09/2026,14.25,false,"Disposables, SUPP Film Roll"
IT - 1656 Collins Ave,SimplyPak,FSW1202K,"12"" x 2000' Premium Foodservice FILM with Cutter Box - 1ct",each,,1 1 roll,false,Disposable,Disposable,0,04/21/2026,14.25,false,"Disposables, SUPP Film Roll"
IT - 1014 Lincoln Rd,SimplyPak,FSW1202K,"12"" x 2000' Premium Foodservice FILM with Cutter Box - 1ct",each,,1 1 roll,false,Disposable,Disposable,0,04/14/2026,14.25,false,"Disposables, SUPP Film Roll"
IT - 1656 Collins Ave,SimplyPak,245048_XC14486123,"12"" x 2000' Premium Foodservice FILM with Cutter Box - 1ct.",each,,1 1 roll,false,Disposable,Disposable,0,05/26/2026,14.25,false,"Disposables, SUPP Film Roll"
IT - 1014 Lincoln Rd,SimplyPak,245048_XC14486123,"12"" x 2000' Premium Foodservice FILM with Cutter Box - 1ct.",each,,1 1 roll,false,Disposable,Disposable,0,02/20/2026,14.25,false,"Disposables, SUPP Film Roll"
IT - 1656 Collins Ave,VIANDER INC,126016,(12X26CL) LIMONATA BIO - S.BERNARDO,cs,,1 1 ea,false,NA Beverage - Other,Beverage Purchases,0,05/07/2026,14.5,false,"NA Bev, Limonata S.Bernardo"
IT - 1014 Lincoln Rd,VIANDER INC,126016,(12X26CL) LIMONATA BIO - S.BERNARDO,cs,,1 1 ea,false,NA Beverage - Other,Beverage Purchases,0,05/18/2026,16.5,false,"NA Bev, Limonata S.Bernardo"
IT - 1014 Lincoln Rd,VIANDER INC,126011,(12X26CL) TONIC BIO - S.BERNARDO,cs,,1 1 ea,false,NA Beverage - Other,Beverage Purchases,0,05/18/2026,16.5,false,
IT - 1014 Lincoln Rd,"Superior Superfoods, LLC",100102,12 x 3 Ct Romaine Heart,cs,ct,12 3 ct,false,Produce,Food Purchases,0,02/23/2026,48.05,false,"Produce, Lettuce Romaine"
IT - 1656 Collins Ave,"Superior Superfoods, LLC",100102,12 x 3 Ct Romaine Heart,cs,ct,12 3 ct,false,Produce,Food Purchases,0,02/23/2026,48.05,false,"Produce, Lettuce Romaine"
IT - 1656 Collins Ave,I Halper Paper and Supplies Inc,TU-13713-ITTRATTORIA,"13x7x13 WHITE BAG'S PTD ""IT TRATTORIA"" (250)",cs,,1 250 ea,false,Disposable,Disposable,0,07/12/2026,7,false,
